Zmienna;Jednostka terytorialna;Jednostka;Rok;Miesiąc;Wartość
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2021;6;5832,28
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2021;7;5870,09
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2021;8;5933,11
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2021;9;5952,74
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2021;10;6018,31
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2021;11;6072,71
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2021;12;6186,66
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2022;1;6179,37
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2022;2;6256,94
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2022;3;6448,74
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2022;4;6497,07
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2022;5;6543,19
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2022;6;6589,57
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2022;7;6811,85
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2022;8;6697,83
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2022;9;6797,82
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2022;10;6822,07
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2022;11;6905,44
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2022;12;6908,05
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2023;1;7006,17
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2023;2;7101,54
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2023;3;7277,1
Przeciętne miesięczne wynagrodzenia brutto w sektorze przedsiębiorstw;Polska;zł;2023;4;7279,07
